x0,y0,x1,y1,score,label
23264,2897,23306,2922,0.3853,2
23107,2792,23150,2822,0.7617,2
23143,2875,23176,2894,0.686,2
23034,2924,23080,2964,0.7222,2
23263,2870,23293,2898,0.3494,1
23107,2898,23145,2930,0.4202,2
23245,2753,23271,2777,0.6318,2
23222,2708,23244,2725,0.4636,2
22986,2938,23016,2974,0.6362,2
23019,2970,23036,2990,0.2756,2
23073,2968,23107,2986,0.5776,2
23152,2754,23170,2767,0.4761,2
23098,2771,23115,2791,0.2969,2
23156,2787,23190,2803,0.4839,2
23010,2900,23026,2925,0.5244,2
23047,2838,23068,2858,0.4653,2
23222,2673,23238,2705,0.4849,2
23284,2721,23296,2742,0.4961,2
23192,2750,23215,2766,0.4829,2
23219,2848,23246,2868,0.4514,2
23242,2804,23270,2818,0.4651,2
23204,2717,23223,2746,0.4326,2
23298,2657,23314,2684,0.3992,2
22873,2968,22890,2984,0.1556,2
23142,2732,23150,2742,0.2771,3
23034,2946,23062,2964,0.3328,2
23298,2691,23308,2702,0.1636,2
22870,2963,22885,2979,0.1582,-100
23701,2932,23748,2966,0.8428,1
23404,2616,23452,2665,0.582,1
23523,2813,23564,2847,0.5615,1
23471,2684,23502,2709,0.4585,1
23362,2844,23387,2866,0.7778,3
23630,2758,23664,2792,0.7671,1
23801,2742,23834,2792,0.7603,2
23707,2880,23748,2924,0.7344,1
23438,2897,23473,2928,0.7402,2
23652,2813,23692,2836,0.6899,1
23605,2723,23645,2750,0.7505,1
23298,2962,23340,2996,0.5669,1
23353,2864,23386,2899,0.3706,2
23486,2615,23516,2643,0.5898,1
23613,2805,23652,2840,0.73,1
23649,2899,23674,2928,0.3738,2
23289,2791,23330,2809,0.7393,2
23687,2738,23718,2788,0.7373,2
23748,2535,23782,2568,0.7202,1
23443,2562,23483,2596,0.5225,1
23650,2779,23682,2814,0.688,1
23542,2916,23566,2966,0.5537,2
23616,2618,23634,2638,0.304,2
23560,2764,23584,2794,0.646,2
23484,2720,23512,2744,0.4731,2
23409,2938,23427,2963,0.5107,2
23642,2679,23668,2710,0.6221,2
23592,2840,23616,2874,0.6094,2
23547,2653,23575,2671,0.5024,2
23350,2902,23380,2931,0.4038,2
23400,2652,23423,2678,0.3613,1
23431,2719,23465,2747,0.5508,2
23542,2599,23560,2618,0.1975,1
